mouse_id,session_id,cluster_id,best_channel,n_spikes,si,ssi,p_value
7010,m8,8,6,52208,0.0071857567078905,17.731144077955374,0.0
7010,m8,14,5,75446,0.0047668976514301,6.131392109948145,0.0
7010,m8,16,8,34452,0.0485029525060503,44.1519711992681,0.0
7010,m8,17,11,31714,0.0308385255369852,22.562951614821262,0.0
7010,m8,18,11,36364,0.0071271435547744,14.343577388850044,0.0
7010,m8,19,9,25379,0.1307112285197481,51.86099077808877,0.0
7010,m8,20,9,12370,0.0869602301229702,20.254461713862664,0.0
7010,m8,21,8,97037,0.0043569272816837,9.956333166753131,0.0
7010,m8,22,10,57264,0.012466062866121,20.19640186076024,0.0
7010,m8,23,11,25963,0.0473620417597436,44.93766280796093,0.0
7010,m8,24,10,72731,0.003962613051392,10.978481379189835,0.0
7010,m8,25,11,109993,0.0039034718041044,8.511382659752309,0.001
7010,m8,26,10,59867,0.0055138187323711,9.908993228650743,0.002
7010,m8,27,13,78786,0.0088653273179902,38.702803240544505,0.0
7010,m8,31,17,80182,0.0029472765308061,3.6470340029778,0.001
7010,m8,32,16,69910,0.0025212107578614,1.4322696264814094,0.093
7010,m8,33,18,63330,0.0033249012187762,6.624432213599368,0.0
7010,m8,34,16,67139,0.0043543657531223,6.302852834387289,0.0
7010,m8,35,22,73608,0.009387975071588,20.12109334008075,0.0
7010,m8,36,23,21630,0.0595674216191655,28.577401073741864,0.0
7010,m8,39,22,63542,0.0130443042895932,24.27069402839395,0.0
7010,m8,40,24,14560,0.0216586556489405,14.792252395437348,0.0
7010,m8,42,26,15250,0.036514995587968,19.990431707872403,0.0
7010,m8,43,24,24256,0.0193955360452062,22.422313055656108,0.0
7010,m8,46,29,60250,0.0025195515428393,4.469894011626008,0.0
7010,m8,47,30,13892,0.0054573235366336,0.9013137593881626,0.191
7010,m9,0,3,37075,0.009901570693961,10.36089851431149,0.0
7010,m9,1,1,13274,0.0099589918687306,5.924084321961769,0.0
7010,m9,2,1,54116,0.0054292477419829,4.475639069548885,0.0
7010,m9,3,0,16135,0.0094127243346859,8.872982238240873,0.0
7010,m9,4,2,14042,0.0146855727844441,14.93150567444043,0.0
7010,m9,5,0,110585,0.0027403114085359,10.882194818447052,0.0
7010,m9,6,3,87728,0.0053895201896305,8.302301259552806,0.001
7010,m9,7,6,29457,0.0136453079397622,6.328303023673313,0.0
7010,m9,8,6,3961,0.0272411938558265,8.03450666045731,0.0
7010,m9,9,5,145579,0.0016757564386194,7.319252898161201,0.0
7010,m9,12,5,3901,0.021608769401848,0.1989508305581814,0.4
7010,m9,13,7,42185,0.0052826482615698,6.722194985218002,0.0
7010,m9,16,9,29102,0.0235057451206771,20.252353919419143,0.0
7010,m9,17,9,26272,0.0303584563135099,16.33930575657073,0.0
7010,m9,18,10,65017,0.00529014894162,11.86762735321093,0.0
7010,m9,19,8,53317,0.150165159416571,50.84284825201863,0.0
7010,m9,21,11,115816,0.0070611320965227,33.570929167713174,0.0
7010,m9,23,10,33568,0.0134664849900748,6.18609963068964,0.0
7010,m9,24,8,94530,0.0059629604897795,14.51205935093192,0.0
7010,m9,29,14,8504,0.291553402667543,47.670100443527865,0.0
7010,m9,30,15,15100,0.0190814127470803,7.620749581720691,0.0
7010,m9,31,14,11601,0.0089351434408825,3.917211999503672,0.001
7010,m9,32,13,34023,0.0081638710263828,8.457576297676908,0.0
7010,m9,37,17,23450,0.0161523280859457,3.4420222604767177,0.001
7010,m9,38,19,72379,0.0038545432220803,11.997575576915292,0.001
7010,m9,39,16,86981,0.0013914077536184,2.08814138015892,0.029
7010,m9,40,20,23738,0.0353135455079389,18.4341221044902,0.001
7010,m9,41,22,57696,0.0151221268134937,22.329167886759144,0.0
7010,m9,42,23,24487,0.0369353463856384,23.90017666107349,0.0
7010,m9,43,22,9442,0.0565471525660844,21.27975686377995,0.0
7010,m9,49,31,45592,0.0044646239824562,7.993893264554769,0.0
7010,m9,50,31,40509,0.0052003110604782,7.990532643925445,0.0
7010,m10,0,1,17037,0.0060271131416053,3.9876445466669166,0.002
7010,m10,1,3,147437,0.0054820958356394,2.665261619953795,0.007
7010,m10,2,3,18891,0.0085823953514626,7.616193622855263,0.0
7010,m10,3,2,105940,0.004029665736008,5.261528348341399,0.001
7010,m10,4,1,72864,0.0069365207336497,2.3824238410625296,0.031
7010,m10,5,0,136029,0.0019351307390233,5.612721114416076,0.0
7010,m10,6,0,9540,0.0112080105751618,6.534599622285295,0.0
